"_id","count","school","pincode","city"
"dyal singh public school(000000)","1","Dyal Singh Public School","000000","Not-Applicable"
"east point school(000000)","3","East Point School","000000","Not-Applicable"
"faculty of nursing bhabha university(000000)","3","Faculty of Nursing Bhabha University","000000","Not-Applicable"
"faculty of nursing(000000)","17","Faculty of nursing","000000","Not-Applicable"
"g  s  b  v  no=2(000000)","1","G  S  B  V  NO=2","000000","Not-Applicable"
"g .g.s.s.s.no.1madipur(000000)","4","G .G.S.S.S.No.1Madipur","000000","Not-Applicable"
"g .r .n.s.b.vidya mandir(000000)","7","G .R .N.S.B.VIDYA MANDIR","000000","Not-Applicable"
"g r n s b v m(000000)","11","G R N S B V M","000000","Not-Applicable"
"g r n s b v m agra(000000)","1","G R N S B V M Agra","000000","Not-Applicable"
"g rn saraswati balika vidhya mandir(000000)","16","G RN saraswati balika vidhya mandir","000000","Not-Applicable"
"g s k v amala was(000000)","1","G S K V Amala was","000000","Not-Applicable"
"g v h s alanallur(000000)","1","G V H S ALANALLUR","000000","Not-Applicable"
"g s b v yamuna vihar b2 delhi 110053(000000)","2","G s b v yamuna vihar b2 delhi 110053","000000","Not-Applicable"
"g s k v tikri kalan(000000)","31","G s k v tikri kalan","000000","Not-Applicable"
"g s s s loharwa(000000)","4","G s s s loharwa","000000","Not-Applicable"
"g s.k.v.school(000000)","1","G s.k.v.school","000000","Not-Applicable"
"g. b. s. s. s school(000000)","1","G. B. S. S. S school","000000","Not-Applicable"
"g. g. s. s. s(000000)","7","G. G. S. S. S","000000","Not-Applicable"
"g. g. s. s. school no 1 madipur(000000)","3","G. G. S. S. School no 1 madipur","000000","Not-Applicable"
"g. h. s. bemmanur(000000)","2","G. H. S. Bemmanur","000000","Not-Applicable"
"g. r. n. s. b. v. m(000000)","61","G. R. N. S. B. V. M","000000","Not-Applicable"
"g. s. b. v. b- 2 yamuna vihar(000000)","2","G. S. B. V. B- 2 yamuna vihar","000000","Not-Applicable"
"g. v. h. s. s alanallur(000000)","1","G. V. H. S. S ALANALLUR","000000","Not-Applicable"
"g.b.s.s.sno=2(000000)","4","G.B.S.S.Sno=2","000000","Not-Applicable"
"g.d goenka(000000)","1","G.D Goenka","000000","Not-Applicable"
"g.d.goenka international school(000000)","6","G.D.goenka International school","000000",""
"g.g.s.s school(000000)","8","G.G.S.S school","000000","Not-Applicable"
"g.g.s.s.s f1 f2(000000)","1","G.G.S.S.S F1 F2","000000","Not-Applicable"
"g.g.s.s.s h. n(000000)","1","G.G.S.S.S H. N","000000","Not-Applicable"
"g.g.s.s.s shivaji park(000000)","3","G.G.S.S.S Shivaji Park","000000","Not-Applicable"
"g.g.s.s.s no 1 madipur new delhi(000000)","1","G.G.S.S.S no 1 madipur new delhi","000000","Not-Applicable"
"g.g.s.s.s.(000000)","2","G.G.S.S.S.","000000","Not-Applicable"
"g.l saraswati bal mandir. sec  school(000000)","2","G.L Saraswati Bal MANDIR. SEC  School","000000",""
"g.l.t. sarasvat bal mandir(000000)","11","G.L.T. Sarasvat bal mandir","000000","Not-Applicable"
"g.p.s.v.m meera bagh(000000)","1","G.P.S.V.M MEERA BAGH","000000","Not-Applicable"
"g.r.n.b.s.v.m(000000)","46","G.R.N.B.S.V.M","000000","Not-Applicable"
"g.r.n.s .b.mandir(000000)","4","G.R.N.S .B.Mandir","000000","Not-Applicable"
"g.r.n.s.b.v.m school(000000)","3","G.R.N.S.B.V.M SCHOOL","000000","Not-Applicable"
"g.r.n.s.balika vidya mandir(000000)","2","G.R.N.S.Balika Vidya mandir","000000","Not-Applicable"
"g.s.b.v no.2 b-block yamuna vihar(000000)","2","G.S.B.V NO.2 B-BLOCK YAMUNA VIHAR","000000","Not-Applicable"
"g.s.b.v.s no.2(000000)","1","G.S.B.V.S NO.2","000000","Not-Applicable"
"g.s.k.v amalwas(000000)","2","G.S.K.V amalwas","000000","Not-Applicable"
"g.s.k.v h/block sultanpuri(000000)","2","G.s.k.v H/block sultanpuri","000000","Not-Applicable"
"g.s.k.v h block(000000)","1","G.s.k.v h block","000000","Not-Applicable"
"g.s.k.v school tikri kalah delhi 41(000000)","1","G.s.k.v school tikri kalah delhi 41","000000","Not-Applicable"
"ganesh ram nagar sarawati balika(000000)","7","GANESH RAM NAGAR SARAWATI BALIKA","000000","Not-Applicable"
"gbsss mandoli extn. delhi 1106265(000000)","3","GBSSS Mandoli extn. Delhi 1106265","000000","Not-Applicable"
"gdc reasi.(000000)","1","GDC reasi.","000000","Not-Applicable"
"ggsss(000000)","11","GGSSS","000000","Not-Applicable"
"ggsss kohat enclave(000000)","1","GGSSS KOHAT ENCLAVE","000000","Not-Applicable"
"ggssschook(000000)","2","GGSSschook","000000","Not-Applicable"
"girls government senior secondery school(000000)","3","GIRLS GOVERNMENT SENIOR SECONDERY SCHOOL","000000","Not-Applicable"
"glt saraswati bal mandir nehru nagar(000000)","4","GLT SARASWATI BAL MANDIR NEHRU NAGAR","000000","Not-Applicable"
"govt sarvodaya bal vidyalaya no.2(000000)","4","GOVT SARVODAYA BAL VIDYALAYA NO.2","000000","Not-Applicable"
"grnsbvm(000000)","54","GRNSBVM","000000","Not-Applicable"
"grnsbvm agra-6(000000)","1","GRNSBVM AGRA-6","000000","Not-Applicable"
"grnsvbm(000000)","10","GRNSVBM","000000","Not-Applicable"
"gry institute of pharmacy(000000)","2","GRY institute of pharmacy","000000","Not-Applicable"
"gsbv 2(000000)","5","GSBV 2","000000","Not-Applicable"
"gsbv no-2(000000)","11","GSBV NO-2","000000","Not-Applicable"
"gsbv,no.2,b-block yamuna vihar delhi-53(000000)","1","GSBV,NO.2,B-BLOCK YAMUNA VIHAR DELHI-53","000000","Not-Applicable"
"gskv nithari(000000)","1","GSKV nithari","000000","Not-Applicable"
"gsss hodu(000000)","2","GSSS HODU","000000","Not-Applicable"
"gail dav public school(000000)","5","Gail DAV public school","000000","Not-Applicable"
"ganeh ram nagar balika vidhaya mandir(000000)","19","Ganeh Ram Nagar balika vidhaya mandir","000000","Not-Applicable"
